title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Coco ,2017,"
                        1h 45min
                    ","
Animation; 
Adventure; 
Comedy
","""Lee Unkrich;Adrian Molina""","""Lee Unkrich;Jason Katz""","""Anthony Gonzalez;Gael García Bernal;Benjamin Bratt""",8.6,"84,594"
De Leeuwenkoning ,1994,"
                        1h 28min
                    ","
Animation; 
Adventure; 
Drama
","""Roger Allers;Rob Minkoff""","""Irene Mecchi;Jonathan Roberts""","""Matthew Broderick;Jeremy Irons;James Earl Jones""",8.5,"745,613"
The Prestige ,2006,"
                        2h 10min
                    ","
Drama; 
Mystery; 
Sci-Fi
","""Christopher Nolan""","""Jonathan Nolan;Christopher Nolan""","""Christian Bale;Hugh Jackman;Scarlett Johansson""",8.5,"971,031"
Memento ,2000,"
                        1h 53min
                    ","
Mystery; 
Thriller
","""Christopher Nolan""","""Christopher Nolan;Jonathan Nolan""","""Guy Pearce;Carrie-Anne Moss;Joe Pantoliano""",8.5,"952,511"
Apocalypse Now ,1979,"
                        2h 27min
                    ","
Drama; 
War
","""Francis Ford Coppola""","""John Milius;Francis Ford Coppola""","""Martin Sheen;Marlon Brando;Robert Duvall""",8.5,"502,729"
Alien ,1979,"
                        1h 56min
                    ","
Horror; 
Sci-Fi
","""Ridley Scott""","""Dan O'Bannon;Ronald Shusett""","""Sigourney Weaver;Tom Skerritt;John Hurt""",8.5,"651,061"
De dictator ,1940,"
                        2h 5min
                    ","
Comedy; 
Drama; 
War
","""Charles Chaplin""","""Charles Chaplin""","""Charles Chaplin;Paulette Goddard;Jack Oakie""",8.5,"160,117"
Nuovo Cinema Paradiso ,1988,"
                        2h 35min
                    ","
Drama
","""Giuseppe Tornatore""","""Giuseppe Tornatore;Giuseppe Tornatore""","""Philippe Noiret;Enzo Cannavale;Antonella Attili""",8.5,"177,325"
Sunset Blvd. ,1950,"
                        1h 50min
                    ","
Drama; 
Film-Noir
","""Billy Wilder""","""Charles Brackett;Billy Wilder""","""William Holden;Gloria Swanson;Erich von Stroheim""",8.5,"159,415"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1964,"
                        1h 35min
                    ","
Comedy; 
War
","""Stanley Kubrick""","""Stanley Kubrick;Terry Southern""","""Peter Sellers;George C. Scott;Sterling Hayden""",8.5,"382,842"
Hotaru no haka ,1988,"
                        1h 29min
                    ","
16 April 1988 (Japan)

 ","""Isao Takahata""","""Akiyuki Nosaka;Isao Takahata""","""Tsutomu Tatsumi;Ayano Shiraishi;Akemi Yamaguchi""",8.5,"167,307"
Das Leben der Anderen ,2006,"
                        2h 17min
                    ","
Drama; 
Thriller
","""Florian Henckel von Donnersmarck""","""Florian Henckel von Donnersmarck""","""Ulrich Mühe;Martina Gedeck;Sebastian Koch""",8.5,"293,441"
Paths of Glory ,1957,"
                        1h 28min
                    ","
Drama; 
War
","""Stanley Kubrick""","""Stanley Kubrick;Calder Willingham""","""Kirk Douglas;Ralph Meeker;Adolphe Menjou""",8.4,"138,563"
Django Unchained ,2012,"
                        2h 45min
                    ","
Drama; 
Western
","""Quentin Tarantino""","""Quentin Tarantino""","""Jamie Foxx;Christoph Waltz;Leonardo DiCaprio""",8.4,"1,101,146"
The Shining ,1980,"
                        2h 26min
                    ","
Drama; 
Horror
","""Stanley Kubrick""","""Stephen King;Stanley Kubrick""","""Jack Nicholson;Shelley Duvall;Danny Lloyd""",8.4,"700,610"
WALL·E ,2008,"
                        1h 38min
                    ","
Animation; 
Adventure; 
Family
","""Andrew Stanton""","""Andrew Stanton;Pete Docter""","""Ben Burtt;Elissa Knight;Jeff Garlin""",8.4,"822,354"
American Beauty ,1999,"
                        2h 2min
                    ","
Drama
","""Sam Mendes""","""Alan Ball""","""Kevin Spacey;Annette Bening;Thora Birch""",8.4,"920,777"
Mononoke-hime ,1997,"
                        2h 14min
                    ","
Animation; 
Adventure; 
Fantasy
","""Hayao Miyazaki""","""Hayao Miyazaki;Neil Gaiman""","""Yôji Matsuda;Yuriko Ishida;Yûko Tanaka""",8.4,"261,010"
The Dark Knight Rises ,2012,"
                        2h 44min
                    ","
Action; 
Thriller
","""Christopher Nolan""","""Jonathan Nolan;Christopher Nolan""","""Christian Bale;Tom Hardy;Anne Hathaway""",8.4,"1,281,768"
Witness for the Prosecution ,1957,"
                        1h 56min
                    ","
Crime; 
Drama; 
Mystery
","""Billy Wilder""","""Agatha Christie;Billy Wilder""","""Tyrone Power;Marlene Dietrich;Charles Laughton""",8.4,"76,966"
Oldeuboi ,2003,"
                        2h
                    ","
Mystery; 
Thriller
","""Chan-wook Park""","""Garon Tsuchiya;Nobuaki Minegishi""","""Min-sik Choi;Ji-tae Yu;Hye-jeong Kang""",8.4,"412,932"
Aliens ,1986,"
                        2h 17min
                    ","
Action; 
Adventure; 
Sci-Fi
","""James Cameron""","""James Cameron;David Giler""","""Sigourney Weaver;Michael Biehn;Carrie Henn""",8.4,"553,318"
Once Upon a Time in America ,1984,"
                        3h 49min
                    ","
Crime; 
Drama
","""Sergio Leone""","""Harry Grey;Leonardo Benvenuti""","""Robert De Niro;James Woods;Elizabeth McGovern""",8.4,"250,279"
Das Boot ,1981,"
                        2h 29min
                    ","
Adventure; 
Drama; 
Thriller
","""Wolfgang Petersen""","""Wolfgang Petersen;Lothar G. Buchheim""","""Jürgen Prochnow;Herbert Grönemeyer;Klaus Wennemann""",8.4,"189,433"
Citizen Kane ,1941,"
                        1h 59min
                    ","
Drama; 
Mystery
","""Orson Welles""","""Herman J. Mankiewicz;Orson Welles""","""Orson Welles;Joseph Cotten;Dorothy Comingore""",8.4,"332,660"
Vertigo ,1958,"
                        2h 8min
                    ","
Mystery; 
Romance; 
Thriller
","""Alfred Hitchcock""","""Alec Coppel;Samuel A. Taylor""","""James Stewart;Kim Novak;Barbara Bel Geddes""",8.4,"286,757"
North by Northwest ,1959,"
                        2h 16min
                    ","
Action; 
Adventure; 
Mystery
","""Alfred Hitchcock""","""Ernest Lehman""","""Cary Grant;Eva Marie Saint;James Mason""",8.4,"246,245"
Dangal ,2016,"
                        2h 41min
                    ","
23 December 2016 (Netherlands)

 ","""Nitesh Tiwari""","""Piyush Gupta;Shreyas Jain""","""Aamir Khan;Sakshi Tanwar;Fatima Sana Shaikh""",8.6,"83,476"
Braveheart ,1995,"
                        2h 58min
                    ","
Biography; 
Drama; 
History
","""Mel Gibson""","""Randall Wallace""","""Mel Gibson;Sophie Marceau;Patrick McGoohan""",8.4,"826,887"
Star Wars: Episode VI - Return of the Jedi ,1983,"
                        2h 11min
                    ","
Action; 
Adventure; 
Fantasy
","""Richard Marquand""","""Lawrence Kasdan;George Lucas""","""Mark Hamill;Harrison Ford;Carrie Fisher""",8.3,"789,192"
Reservoir Dogs ,1992,"
                        1h 39min
                    ","
Crime; 
Drama; 
Thriller
","""Quentin Tarantino""","""Quentin Tarantino;Roger Avary""","""Harvey Keitel;Tim Roth;Michael Madsen""",8.3,"754,299"
M ,1931,"
                        1h 57min
                    ","
Crime; 
Drama; 
Mystery
","""Fritz Lang""","""Thea von Harbou;Fritz Lang""","""Peter Lorre;Ellen Widmann;Inge Landgut""",8.4,"113,132"
Kimi no na wa. ,2016,"
                        1h 46min
                    ","
Animation; 
Drama; 
Fantasy
","""Makoto Shinkai""","""Makoto Shinkai;Makoto Shinkai""","""Ryûnosuke Kamiki;Mone Kamishiraishi;Ryô Narita""",8.5,"76,674"
Requiem for a Dream ,2000,"
                        1h 42min
                    ","
Drama
","""Darren Aronofsky""","""Hubert Selby Jr.;Hubert Selby Jr.""","""Ellen Burstyn;Jared Leto;Jennifer Connelly""",8.3,"646,645"
Taare Zameen Par ,2007,"
                        2h 45min
                    ","
Drama; 
Family
","""Aamir Khan;Amole Gupte""","""Amole Gupte;Amole Gupte""","""Darsheel Safary;Aamir Khan;Tanay Chheda""",8.5,"116,022"
Amélie ,2001,"
                        2h 2min
                    ","
Comedy; 
Romance
","""Jean-Pierre Jeunet""","""Guillaume Laurant;Jean-Pierre Jeunet""","""Audrey Tautou;Mathieu Kassovitz;Rufus""",8.3,"601,639"
A Clockwork Orange ,1971,"
                        2h 16min
                    ","
Crime; 
Drama; 
Sci-Fi
","""Stanley Kubrick""","""Stanley Kubrick;Anthony Burgess""","""Malcolm McDowell;Patrick Magee;Michael Bates""",8.3,"630,594"
Amadeus ,1984,"
                        2h 40min
                    ","
Biography; 
Drama; 
History
","""Milos Forman""","""Peter Shaffer;Peter Shaffer""","""F. Murray Abraham;Tom Hulce;Elizabeth Berridge""",8.3,"306,836"
Lawrence of Arabia ,1962,"
                        3h 36min
                    ","
Adventure; 
Biography; 
Drama
","""David Lean""","""T.E. Lawrence;Robert Bolt""","""Peter O'Toole;Alec Guinness;Anthony Quinn""",8.3,"218,298"
Double Indemnity ,1944,"
                        1h 47min
                    ","
Crime; 
Drama; 
Film-Noir
","""Billy Wilder""","""Billy Wilder;Raymond Chandler""","""Fred MacMurray;Barbara Stanwyck;Edward G. Robinson""",8.3,"112,089"
Eternal Sunshine of the Spotless Mind ,2004,"
                        1h 48min
                    ","
Drama; 
Romance; 
Sci-Fi
","""Michel Gondry""","""Charlie Kaufman;Michel Gondry""","""Jim Carrey;Kate Winslet;Tom Wilkinson""",8.3,"754,915"
Taxi Driver ,1976,"
                        1h 54min
                    ","
Crime; 
Drama
","""Martin Scorsese""","""Paul Schrader""","""Robert De Niro;Jodie Foster;Cybill Shepherd""",8.3,"578,131"
To Kill a Mockingbird ,1962,"
                        2h 9min
                    ","
Crime; 
Drama
","""Robert Mulligan""","""Harper Lee;Horton Foote""","""Gregory Peck;John Megna;Frank Overton""",8.3,"246,268"
Singin' in the Rain ,1952,"
                        1h 43min
                    ","
Comedy; 
Musical; 
Romance
","""Stanley Donen;Gene Kelly""","""Betty Comden;Adolph Green""","""Gene Kelly;Donald O'Connor;Debbie Reynolds""",8.3,"175,245"
2001: A Space Odyssey ,1968,"
                        2h 29min
                    ","
Adventure; 
Sci-Fi
","""Stanley Kubrick""","""Stanley Kubrick;Arthur C. Clarke""","""Keir Dullea;Gary Lockwood;William Sylvester""",8.3,"487,718"
Full Metal Jacket ,1987,"
                        1h 56min
                    ","
Drama; 
War
","""Stanley Kubrick""","""Gustav Hasford;Stanley Kubrick""","""Matthew Modine;R. Lee Ermey;Vincent D'Onofrio""",8.3,"552,532"
3 Idiots ,2009,"
                        2h 50min
                    ","
Comedy; 
Drama
","""Rajkumar Hirani""","""Rajkumar Hirani;Abhijat Joshi""","""Aamir Khan;Madhavan;Mona Singh""",8.4,"261,276"
Toy Story ,1995,"
                        1h 21min
                    ","
Animation; 
Adventure; 
Comedy
","""John Lasseter""","""John Lasseter;Pete Docter""","""Tom Hanks;Tim Allen;Don Rickles""",8.3,"714,072"
The Sting ,1973,"
                        2h 9min
                    ","
Comedy; 
Crime; 
Drama
","""George Roy Hill""","""David S. Ward""","""Paul Newman;Robert Redford;Robert Shaw""",8.3,"198,393"
Ladri di biciclette ,1948,"
                        1h 29min
                    ","
Drama
","""Vittorio De Sica""","""Cesare Zavattini;Luigi Bartolini""","""Lamberto Maggiorani;Enzo Staiola;Lianella Carell""",8.3,"110,424"
Inglourious Basterds ,2009,"
                        2h 33min
                    ","
Adventure; 
Drama; 
War
","""Quentin Tarantino;Eli Roth""","""Quentin Tarantino""","""Brad Pitt;Diane Kruger;Eli Roth""",8.3,"1,017,289"
Toy Story 3 ,2010,"
                        1h 43min
                    ","
Animation; 
Adventure; 
Comedy
","""Lee Unkrich""","""John Lasseter;Andrew Stanton""","""Tom Hanks;Tim Allen;Joan Cusack""",8.3,"619,398"
The Kid ,1921,"
                        1h 8min
                    ","
6 February 1921 (USA)

 ","""Charles Chaplin""","""Charles Chaplin""","""Charles Chaplin;Edna Purviance;Jackie Coogan""",8.3,"82,129"
Snatch ,2000,"
                        1h 44min
                    ","
Comedy; 
Crime
","""Guy Ritchie""","""Guy Ritchie""","""Jason Statham;Brad Pitt;Benicio Del Toro""",8.3,"669,015"
Jagten ,2012,"
                        1h 55min
                    ","
Drama
","""Thomas Vinterberg""","""Tobias Lindholm;Thomas Vinterberg""","""Mads Mikkelsen;Thomas Bo Larsen;Annika Wedderkopp""",8.3,"209,736"
Good Will Hunting ,1997,"
                        2h 6min
                    ","
Drama
","""Gus Van Sant""","""Matt Damon;Ben Affleck""","""Robin Williams;Matt Damon;Ben Affleck""",8.3,"696,409"
Monty Python and the Holy Grail ,1975,"
                        1h 31min
                    ","
Adventure; 
Comedy; 
Fantasy
","""Terry Gilliam;Terry Jones""","""Graham Chapman;John Cleese""","""Graham Chapman;John Cleese;Eric Idle""",8.3,"423,485"
Per qualche dollaro in più ,1965,"
                        2h 12min
                    ","
Western
","""Sergio Leone""","""Sergio Leone;Fulvio Morsella""","""Clint Eastwood;Lee Van Cleef;Gian Maria Volontè""",8.3,"182,194"
Scarface ,1983,"
                        2h 50min
                    ","
Crime; 
Drama
","""Brian De Palma""","""Oliver Stone""","""Al Pacino;Michelle Pfeiffer;Steven Bauer""",8.3,"606,648"
L.A. Confidential ,1997,"
                        2h 18min
                    ","
Crime; 
Drama; 
Mystery
","""Curtis Hanson""","""James Ellroy;Brian Helgeland""","""Kevin Spacey;Russell Crowe;Guy Pearce""",8.3,"457,890"
The Apartment ,1960,"
                        2h 5min
                    ","
Comedy; 
Drama; 
Romance
","""Billy Wilder""","""Billy Wilder;I.A.L. Diamond""","""Jack Lemmon;Shirley MacLaine;Fred MacMurray""",8.3,"126,156"
Metropolis ,1927,"
                        2h 33min
                    ","
Drama; 
Sci-Fi
","""Fritz Lang""","""Thea von Harbou;Thea von Harbou""","""Brigitte Helm;Alfred Abel;Gustav Fröhlich""",8.3,"127,798"
Jodaeiye Nader az Simin ,2011,"
                        2h 3min
                    ","
Drama; 
Mystery
","""Asghar Farhadi""","""Asghar Farhadi""","""Payman Maadi;Leila Hatami;Sareh Bayat""",8.4,"175,139"
"Three Billboards Outside Ebbing, Missouri ",2017,"
                        1h 55min
                    ","
Crime; 
Drama
","""Martin McDonagh""","""Martin McDonagh""","""Frances McDormand;Woody Harrelson;Sam Rockwell""",8.3,"90,368"
Rashômon ,1950,"
                        1h 28min
                    ","
Crime; 
Drama; 
Mystery
","""Akira Kurosawa""","""Ryûnosuke Akutagawa;Akira Kurosawa""","""Toshirô Mifune;Machiko Kyô;Masayuki Mori""",8.3,"118,001"
Indiana Jones and the Last Crusade ,1989,"
                        2h 7min
                    ","
Action; 
Adventure; 
Fantasy
","""Steven Spielberg""","""Jeffrey Boam;George Lucas""","""Harrison Ford;Sean Connery;Alison Doody""",8.3,"580,721"
Yôjinbô ,1961,"
                        1h 50min
                    ","
Action; 
Drama; 
Thriller
","""Akira Kurosawa""","""Akira Kurosawa;Akira Kurosawa""","""Toshirô Mifune;Eijirô Tôno;Tatsuya Nakadai""",8.3,"84,593"
All About Eve ,1950,"
                        2h 18min
                    ","
27 October 1950 (USA)

 ","""Joseph L. Mankiewicz""","""Joseph L. Mankiewicz""","""Bette Davis;Anne Baxter;George Sanders""",8.3,"94,986"
Up ,2009,"
                        1h 36min
                    ","
Animation; 
Adventure; 
Comedy
","""Pete Docter;Bob Peterson""","""Pete Docter;Bob Peterson""","""Edward Asner;Jordan Nagai;John Ratzenberger""",8.3,"764,434"
Batman Begins ,2005,"
                        2h 20min
                    ","
Action; 
Adventure; 
Thriller
","""Christopher Nolan""","""Bob Kane;David S. Goyer""","""Christian Bale;Michael Caine;Ken Watanabe""",8.3,"1,101,078"
Babam ve Oglum ,2005,"
                        1h 48min
                    ","
18 November 2005 (Turkey)

 ","""Çagan Irmak""","""Çagan Irmak""","""Resit Kurt;Fikret Kuskan;Çetin Tekindor""",8.5,"53,325"
Some Like It Hot ,1959,"
                        2h 1min
                    ","
Comedy; 
Romance
","""Billy Wilder""","""Billy Wilder;I.A.L. Diamond""","""Marilyn Monroe;Tony Curtis;Jack Lemmon""",8.3,"198,402"
The Treasure of the Sierra Madre ,1948,"
                        2h 6min
                    ","
Adventure; 
Drama; 
Western
","""John Huston""","""John Huston;B. Traven""","""Humphrey Bogart;Walter Huston;Tim Holt""",8.3,"89,943"
Unforgiven ,1992,"
                        2h 10min
                    ","
Drama; 
Western
","""Clint Eastwood""","""David Webb Peoples""","""Clint Eastwood;Gene Hackman;Morgan Freeman""",8.2,"311,685"
Der Untergang ,2004,"
                        2h 36min
                    ","
Biography; 
Drama; 
History
","""Oliver Hirschbiegel""","""Bernd Eichinger;Joachim Fest""","""Bruno Ganz;Alexandra Maria Lara;Ulrich Matthes""",8.2,"279,500"
Die Hard ,1988,"
                        2h 12min
                    ","
Action; 
Thriller
","""John McTiernan""","""Roderick Thorp;Jeb Stuart""","""Bruce Willis;Alan Rickman;Bonnie Bedelia""",8.2,"663,741"
Heat ,1995,"
                        2h 50min
                    ","
Crime; 
Drama; 
Thriller
","""Michael Mann""","""Michael Mann""","""Al Pacino;Robert De Niro;Val Kilmer""",8.2,"481,496"
Raging Bull ,1980,"
                        2h 9min
                    ","
Biography; 
Drama; 
Sport
","""Martin Scorsese""","""Jake LaMotta;Joseph Carter""","""Robert De Niro;Cathy Moriarty;Joe Pesci""",8.2,"262,772"
Ikiru ,1952,"
                        2h 23min
                    ","
Drama
","""Akira Kurosawa""","""Akira Kurosawa;Shinobu Hashimoto""","""Takashi Shimura;Nobuo Kaneko;Shin'ichi Himori""",8.3,"49,220"
